#Table1
RA DEC zGAL mag_r mag_g mag_z R50_r
181.38175 15.442265 0 17.01502 16.26863 15.83213 1.253444
181.7392 41.899289 0 15.7313 16.58787 15.01235 4.513149
184.70255 40.738898 0 18.61027 20.40221 17.65176 1.903323
205.43002 32.219395 0 17.96876 19.64449 17.17141 3.082922
183.14125 25.242658 0.003117328 21.62659 21.49184 21.42889 0.532939
188.15294 27.368352 0 17.81757 18.79989 17.01078 1.788844
184.59905 26.947499 0 16.73164 18.06932 16.12741 3.774273
184.53227 27.012421 0 17.37842 18.55063 16.61636 3.01034
204.15382 29.631732 0 17.78072 19.05344 17.01521 2.198698
199.04654 29.260323 0 17.76486 18.23458 17.42187 2.663533
198.99408 29.280172 0 16.01311 16.92139 15.34819 2.878577
195.35528 29.313739 0.02339724 14.06686 14.88288 13.54531 9.159537
195.03143 29.347174 -0.0001122541 18.68848 18.96716 18.53479 0.6862336
207.20885 29.389705 0 19.78637 20.40808 19.72873 0.7856082
207.20802 28.488111 0 16.21086 16.78149 15.89724 0.6617602
182.51976 32.629537 0 16.56884 17.40086 15.82998 1.904423
198.05444 31.446837 0 19.19011 21.20721 18.54951 3.256772
189.25567 32.108319 0 15.6483 16.59699 14.80231 2.785594
203.91963 30.403996 0 16.36092 17.1928 15.66914 3.023724
203.87077 30.317238 0 16.3211 17.21542 15.57583 2.271601
200.68331 30.766159 0 18.00435 19.36881 17.01828 2.129325
205.29522 30.354357 0.01693123 20.13828 21.45029 19.42629 1.378406
198.00811 31.398673 0 18.66084 20.47897 17.56581 1.587131
189.23611 31.944643 0 18.96678 21.20203 17.91125 1.667174
207.16832 29.645376 0 18.8393 20.64689 17.80853 2.370636
201.00302 30.461229 0 16.32802 17.21973 15.62975 1.29677
190.49598 35.802102 0 16.19803 17.30417 15.5816 0.6347791
190.01236 35.401495 0 17.56681 18.46293 17.08273 0.5974569
193.63997 33.535101 0 17.57505 18.51777 16.50377 1.229465
194.7512 34.845131 0.002642006 14.3106 13.99547 15.28067 1.952085
191.36595 34.644489 0 19.53312 19.53918 19.45962 0.6395292
205.53493 35.654302 0.00361103 11.5258 12.21837 11.00986 23.95265
208.41087 34.2037 0 17.13957 17.60313 16.95547 3.610188
208.38347 34.271976 0 17.41538 18.06321 16.86643 2.067328
195.97685 37.233855 0.03595273 17.39688 17.00974 17.21816 1.373979
192.93423 36.614643 0 19.7089 21.52277 18.62695 0.6896335
193.27735 36.819835 0.02782256 17.46804 17.93158 17.08418 0.7746372
195.89821 36.181442 0 20.3206 21.12305 18.82614 1.00205
201.46315 35.240066 0 18.01178 19.57747 17.29897 2.397078
186.77558 36.296193 0 17.45248 18.28492 16.83722 2.134308
182.48617 39.870327 0.003518241 15.00937 15.33056 28.07836 28.68395
199.29855 39.824261 0 19.4519 20.0439 19.30572 0.5287379
195.64167 39.83275 0 18.77942 20.53575 17.82046 1.493505
195.48574 39.847518 0 18.97058 20.57622 17.84859 1.450092
206.70605 14.400467 0.02155878 14.16805 14.78278 13.67009 2.608533
205.01972 14.423108 0 17.67879 18.32766 16.96961 2.545828
187.38492 15.210345 0 18.92075 19.00738 18.97427 0.4700359
204.0247 14.130792 0 17.61666 18.59497 16.91589 1.972473
202.96388 14.13749 0 14.61875 15.16927 14.25863 5.803859
202.03878 14.198952 0 18.24233 18.6143 18.04061 0.5146686
184.43582 14.814352 0 19.10592 21.23227 18.0998 1.596266
184.37288 14.885582 0 17.4424 17.41461 17.84913 5.930637
182.6346 14.989373 0 17.05734 17.65483 16.52022 1.892127
200.08127 14.048846 0 18.11205 19.69231 17.26648 2.137065
186.5724 14.574568 0 16.05479 16.99312 15.32082 3.521649
181.43378 14.390399 0 19.24265 19.40124 19.12334 0.5201817
181.38609 14.489985 0 15.58264 15.97205 15.24689 4.72378
207.05227 14.077621 0 18.57691 25.5985 23.08934 0.6462946
205.99097 13.776051 0 16.91353 18.02863 16.17621 1.608052
181.17284 40.532008 0 18.32642 19.888 17.62204 2.377375
195.59799 39.63736 0 16.64316 16.92012 16.53621 0.59916
184.62397 40.089539 0 18.55744 18.44185 18.67806 0.6974714
