Filename_corr,RA_corr,dec_corr,Rearcsec,AR,n,mu_0_g,mu_0_z,mag_g,tau,WISE,classALL
SMDG2158443+004431,-30.31527,0.74183,5.8,0.588,0.888,23.617,22.872,19.319,0.04859,0.05923,3
SMDG2129523-004125,-37.53188,-0.69028,8.09,0.683,1.126,23.153,22.24,18.372,0.03247,0.07559,3
SMDG2144558+012533,-33.76755,1.42597,7.35,0.649,1.084,22.904,22.028,18.314,0.04907,0.06025,3
SMDG2124362-020325,-38.84899,-2.05707,5.11,0.529,0.751,23.512,22.856,19.385,0.03937,0.05724,3
SMDG2129521-003252,-37.53292,-0.5477,7.8,0.565,1.08,23.303,22.056,18.728,0.03976,0.06102,3
SMDG2222126+015843,-24.44739,1.97853,5.44,0.564,1.009,23.121,22.22,19.209,0.04866,0.08939,3
SMDG2139363+005319,-35.09861,0.88867,6.78,0.94,1.325,22.614,21.948,18.222,0.04476,0.07104,3
SMDG2105543-015220,-43.52375,-1.8721,7.42,0.724,1.278,22.959,22.218,18.571,0.04368,0.09396,3
SMDG2202139+011215,-29.4419,1.20428,5.24,0.788,0.849,23.839,22.986,19.38,0.04005,0.05473,3
SMDG2146448-005213,-33.3135,-0.87034,6.31,0.732,0.883,23.271,22.631,18.544,0.04726,0.09933,3
SMDG2201429+002248,-29.57146,0.38001,5.1,0.558,0.728,23.171,22.61,18.954,0.04658,0.0738,3
SMDG2126169-000923,-38.42964,-0.15635,7.39,0.967,1.021,23.043,22.24,17.901,0.04275,0.06776,3
SMDG2209073+013821,-27.71977,1.63921,6.55,0.672,1.068,23.377,22.69,18.972,0.03831,0.08265,3
SMDG2206238+025710,-28.40098,2.95272,7.65,0.752,1.04,23.994,23.298,19.082,0.04672,0.07324,3
SMDG2129244-003635,-37.64816,-0.60974,8.33,0.507,1.733,22.772,22.092,19.355,0.03927,0.06976,3
SMDG2332333-023349,-6.86133,-2.56355,5.63,0.595,0.944,23.864,23.132,19.71,0.04203,0.06829,3
SMDG0006595+005846,1.74776,0.97957,5.45,0.786,0.967,23.516,22.844,19.169,0.02948,0.06454,3
SMDG2346578-021712,-3.25901,-2.28665,8.29,0.715,1.95,22.523,21.827,19.155,0.03981,0.06997,3
SMDG0015567-020606,3.98618,-2.10157,7.0,0.652,0.732,23.366,22.593,18.299,0.03129,0.09864,3
SMDG2320412+004934,-9.82838,0.82609,43.21,0.874,2.512,21.739,20.741,15.658,0.04906,0.07256,3
SMDG0003434-015330,0.93087,-1.89171,4.92,0.661,0.821,23.17,22.528,18.994,0.04342,0.0638,3
SMDG2358356-003118,-0.35186,-0.52178,5.31,0.735,0.885,23.252,22.443,18.898,0.04117,0.07218,3
SMDG2345187-025440,-3.6722,-2.91106,5.79,0.567,1.104,23.103,22.396,19.213,0.04043,0.06075,3
SMDG2313415-015412,-11.57697,-1.90344,7.42,0.768,0.661,23.652,23.142,18.173,0.03779,0.04856,3
SMDG2344005+002643,-3.99782,0.44524,5.72,0.642,1.033,23.322,22.383,19.201,0.03078,-0.00846,3
SMDG0020397-002755,5.16545,-0.46516,6.21,0.699,1.287,23.455,22.589,19.508,0.02529,0.01746,3
SMDG2305318-001402,-13.61732,-0.23379,5.56,0.89,0.775,23.691,22.867,18.853,0.04914,0.0701,3
SMDG2322018-005229,-9.49248,-0.87468,13.61,0.5,1.62,22.347,21.728,17.668,0.04933,0.08219,3
SMDG2309539-025309,-12.52538,-2.88581,18.5,0.557,3.386,20.642,19.814,18.634,0.04996,0.0568,3
SMDG0001389+025001,0.41195,2.83359,6.75,0.611,0.732,23.277,22.745,18.359,0.03096,0.0333,3
SMDG0019357+004323,4.89892,0.72309,8.45,0.607,1.003,23.838,23.191,18.88,0.0274,0.03584,3
SMDG2307095-004013,-13.21053,-0.67014,7.74,0.843,1.374,23.076,22.351,18.603,0.04429,0.07217,3
SMDG2313301-020247,-11.62447,-2.04645,5.98,0.702,1.03,23.209,22.299,18.89,0.03149,0.05103,3
SMDG2304211+010327,-13.91196,1.05741,15.55,0.43,1.304,23.162,22.27,17.779,0.04297,0.06984,3
SMDG2356532-013335,-0.77823,-1.55964,7.97,0.947,0.887,23.431,22.656,17.924,0.02677,0.0317,3
SMDG2340409-022956,-4.82976,-2.499,5.77,0.531,0.875,23.525,22.632,19.328,0.03411,0.06654,3
SMDG2337158-000423,-5.68408,-0.07303,5.6,0.753,0.968,23.203,22.542,18.845,0.04578,0.07347,3
SMDG2331153+020014,-7.18636,2.00387,55.35,0.832,2.218,22.091,21.209,14.951,0.04459,0.06301,3
SMDG0018431+003017,4.67947,0.50476,7.75,0.566,0.867,23.242,22.565,18.322,0.03354,0.02221,3
SMDG2316088-023644,-10.96342,-2.61221,7.99,0.699,1.716,23.396,22.46,19.689,0.03991,0.04259,3
SMDG2306364+002305,-13.34824,0.38459,13.36,0.852,1.494,22.965,22.224,17.514,0.04455,0.06183,3
SMDG2343553+000431,-4.01958,0.0753,13.66,0.584,1.271,22.75,21.991,17.257,0.03399,0.05995,3
SMDG2318043-012236,-10.48196,-1.37662,5.68,0.844,0.999,23.562,22.67,19.102,0.04909,0.07281,3
SMDG2315034-020612,-11.23575,-2.10326,4.81,0.522,0.858,23.208,22.189,19.397,0.03668,0.04782,3
SMDG2347505+001957,-3.03978,0.33247,6.17,0.818,1.349,22.872,22.13,18.879,0.03149,0.07489,3
SMDG2316495-021338,-10.79367,-2.22728,8.6,0.631,0.917,23.188,22.599,18.006,0.03655,0.04951,3
SMDG0001080+015629,0.28345,1.94126,5.62,0.583,1.036,23.008,22.431,19.035,0.03256,0.04338,3
SMDG2301126+003030,-14.69762,0.50846,9.04,0.539,1.432,23.083,22.229,18.864,0.04344,0.08736,3
SMDG0008216-022309,2.08997,-2.3857,35.63,0.851,1.942,22.496,21.765,15.757,0.02577,0.07961,3
SMDG2352445-020709,-1.81448,-2.11923,4.41,0.861,0.455,23.817,22.956,19.059,0.03035,0.07007,3
SMDG2356270-024523,-0.88742,-2.75651,5.07,0.877,0.933,23.443,22.598,19.077,0.04296,0.05983,3
SMDG2315455-021650,-11.06052,-2.2805,4.66,0.497,0.76,23.284,22.156,19.438,0.04135,0.05003,3
SMDG2350450-005446,-2.31233,-0.91289,5.1,0.369,0.914,23.109,22.554,19.639,0.04092,0.07376,3
