TABLE NAME udg ra dec cz sepDEG LocalEnv GlobalEnv Density MUg0 Mnuv Mg Mr Mz Re b/a n UV g-r RedSequence
2 SMDG0244338-001602 FALSE 41.14088 -0.26695 1304 151.98 Dense Non-Cluster High 25.433 -9.84 -12.46 -12.97 -13.28 0.92 0.86 0.556 No 0.5 TRUE
2 SMDG0855549+312822 FALSE 133.97875 31.47279 528 53.07 Unconstrained Non-Cluster Low 24.582 -6.89 -8.83 -9.4 -9.78 0.19 0.55 0.923 No 0.57 TRUE
2 SMDG0914401+283036 TRUE 138.66714 28.51015 6385 49.59 Sparse Non-Cluster Low 24.61 -14.38 -15.51 -15.74 -15.77 2.68 0.71 0.46 Yes 0.23 FALSE
2 SMDG1006234+285218 FALSE 151.5973 28.87181 1312 38.14 Sparse Non-Cluster Low 25.11 -9.22 -11.55 -12.07 -12.36 0.64 0.69 0.673 No 0.52 TRUE
2 SMDG1216089+325257 FALSE 184.03687 32.88284 601 10.61 Unconstrained Non-Cluster Low 25.756 -5.19 -9.29 -9.78 -10.25 0.26 0.89 0.6 No 0.49 TRUE
2 SMDG1217377+283519 FALSE 184.40714 28.58854 493 9.31 Unconstrained Non-Cluster Low 24.945 -7.40 -10.57 -11.1 -11.4 0.39 0.76 0.803 No 0.52 TRUE
2 SMDG1221086+292921 FALSE 185.28587 29.48917 1024 8.61 Dense Non-Cluster High 25.182 -9.68 -12.34 -12.95 -13.28 1.05 0.59 0.717 No 0.61 TRUE
2 SMDG1237294+204442 FALSE 189.37258 20.74478 1421 8.84 Sparse Non-Cluster Low 24.773 -9.88 -11.55 -11.78 -11.82 0.52 0.64 0.553 Yes 0.23 FALSE
2 SMDG1240530+321655 TRUE 190.22104 32.28219 6820 5.94 Sparse Non-Cluster Low 24.672 -11.90 -16.02 -16.54 -16.8 4.42 0.62 0.696 No 0.52 FALSE
2 SMDG1242314+315809 FALSE 190.63066 31.96907 568 5.47 Unconstrained Non-Cluster Low 24.754 -6.75 -10.26 -10.87 -11.2 0.29 0.76 0.661 No 0.61 TRUE
2 SMDG1245277+181801 TRUE 191.36529 18.30023 1521 10.23 Sparse Non-Cluster Low 25.794 -12.06 -13.78 -14.11 -14.29 2.04 0.72 0.406 Yes 0.34 FALSE
2 SMDG1251014+274753 TRUE 192.75548 27.79806 6118 1.95 Sparse Non-Cluster Low 24.651 -12.56 -15.68 -16.29 -16.56 4.25 0.73 0.972 No 0.61 TRUE
2 SMDG1253152+274115 TRUE 193.31309 27.68772 7316 1.48 Dense Non-Cluster High 24.342 NaN -15.5 -16.02 -16.49 3.41 0.76 0.997 No 0.52 FALSE
2 SMDG1257017+282325 TRUE 194.25723 28.39011 6587 0.74 Dense Cluster High 24.474 -11.44 -15.91 -16.48 -16.86 3.94 0.76 0.863 No 0.57 TRUE
