
Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.


queryDateTime:2016-09-02T17:47:59PDT



Main Information Table for Searching NED within 500.000 arcmin of 194.950000, 27.980000



Equinox:J2000.0



CoordSystem:Equatorial

No.	Object Name	RA(deg)	DEC(deg)	Type	Velocity	Redshift	Redshift Flag	Magnitude and Filter	Distance (arcmin)	References	Notes	Photometry Points	Positions	Redshift Points	Diameter Points	Associations
1	SDSS J125948.59+275857.8	194.95246 	  27.98274 	G	  5306	 0.017700 	    	18.6g	  0.210	19	0	28	6	2	4	0
2	IC 3998	194.94492 	  27.97385 	G	  9453	 0.031532 	    	15.4g	  0.457	106	1	58	9	12	7	1
3	SDSS J125944.92+275854.2	194.93721 	  27.98174 	G	  7250	 0.024183 	    	23.0g	  0.686	5	0	10	1	1	4	4
4	2MASS J12594688+2759308	194.94556 	  27.99192 	G	  8360	 0.027886 	    	18.3g	  0.753	31	0	33	6	2	4	2
5	SDSS J125944.76+275807.1	194.93653 	  27.96867 	G	  9870	 0.032923 	    	21.1g	  0.986	8	0	16	3	1	4	0
6	COMAi J125943.054+275845.74	194.92937 	  27.97939 	G	  7346	 0.024504 	    	22.6R	  1.094	4	0	3	0	1	0	2
7	SDSS J125943.95+275802.0	194.93315 	  27.96724 	G	  7926	 0.026438 	    	22.7g	  1.176	5	0	16	1	1	4	0
8	COMAi J125953.491+275855.68	194.97293 	  27.98216 	G	  6470	 0.021582 	    	23.0R	  1.222	4	0	3	0	1	0	1
9	GIN 786	194.93219 	  27.99469 	G	  6688	 0.022309 	    	15.9g	  1.291	97	1	37	8	16	5	1
10	SDSS J125952.18+275946.3	194.96745 	  27.99621 	G	  8641	 0.028823 	    	21.7g	  1.342	9	0	17	2	1	4	0
11	SDSS J125941.89+275848.9	194.92458 	  27.98027 	G	  7366	 0.024570 	    	23.6g	  1.347	5	0	10	1	1	3	0
12	SDSS J125941.69+275841.9	194.92372 	  27.97832 	*	  6982	 0.023289 	    	24.4g	  1.396	3	0	8	1	1	3	0
13	COMAi J125953.929+275813.75	194.97472 	  27.97056 	G	  6618	 0.022075 	    	18.63	  1.427	20	0	16	6	2	0	3
14	COMAi J125944.217+275730.29	194.93425 	  27.95851 	G	  6895	 0.023000 	    	     	  1.536	1	0	0	1	1	0	0
15	2MASX J12594423+2757307	194.93419 	  27.95842 	G	  6892	 0.022989 	    	16.2g	  1.542	68	0	45	5	7	6	0
16	COMAi J125944.182+275730.39	194.93407 	  27.95839 	G	  6895	 0.023000 	    	     	  1.547	1	0	0	1	1	0	0
17	SDSS J125942.92+275954.6	194.92886 	  27.99851 	G	  8497	 0.028343 	    	20.9g	  1.578	4	0	16	2	1	4	2
18	SDSS J125951.81+275726.3	194.96591 	  27.95731 	G	  5960	 0.019880 	    	21.4g	  1.601	9	0	16	3	2	4	4
19	COMAi J125952.441+275724.32	194.96855 	  27.95678 	G	  6705	 0.022365 	    	23.4R	  1.705	3	0	3	0	1	0	0
20	COMAi J125949.656+275706.41	194.95692 	  27.95180 	G	  9638	 0.032149 	    	22.7R	  1.731	3	0	3	0	1	0	0
21	2MASS J12594026+2758058	194.91780 	  27.96824 	G	  7531	 0.025121 	    	16.7g	  1.846	60	0	31	6	11	4	0
22	COMAi J125939.402+275840.08	194.91425 	  27.97784 	G	  8816	 0.029407 	    	21.6R	  1.899	5	0	5	0	1	0	3
23	COMAi J125940.409+275731.15	194.91841 	  27.95868 	G	  6867	 0.022906 	    	22.1R	  2.107	6	0	5	0	1	0	1
24	2MASX J12593827+2759137	194.90966 	  27.98720 	G	  6776	 0.022602 	    	16.4g	  2.181	63	0	42	6	10	7	0
25	SDSS J125941.20+275711.0	194.92171 	  27.95307 	G	  6955	 0.023199 	    	22.5g	  2.204	5	0	20	1	1	3	0
26	SDSS J125939.22+275954.7	194.91343 	  27.99853 	*	  7075	 0.023600 	    	20.9g	  2.234	7	0	9	2	1	4	1
27	SDSS J125956.73+275958.1	194.98640 	  27.99948 	G	  6950	 0.023183 	    	23.1g	  2.255	3	0	17	1	1	4	1
28	COMAi J125938.946+275733.19	194.91234 	  27.95928 	G	  6558	 0.021875 	    	22.6R	  2.351	3	0	3	0	1	0	4
29	CXO J125939.8+275716	194.91591 	  27.95462 	G	  7915	 0.026400 	    	16.4g	  2.363	2	0	0	0	1	0	0
30	2MASS J12593965+2757141	194.91524 	  27.95391 	G	  8029	 0.026782 	    	15.4 	  2.417	78	0	36	7	10	5	0
31	2MASS J12593720+2758203	194.90500 	  27.97220 	G	  7615	 0.025400 	    	18.98	  2.430	15	0	16	5	2	4	0
32	SDSS J125942.27+280054.6	194.92616 	  28.01518 	G	  7934	 0.026465 	    	20.2r	  2.460	7	0	8	1	1	4	0
33	SDSS J125958.51+275755.5	194.99381 	  27.96544 	G	  6821	 0.022752 	    	20.5g	  2.481	3	0	18	1	1	3	2
34	2MASS J12593798+2800036	194.90828 	  28.00102 	G	  4924	 0.016425 	    	17.4g	  2.545	46	0	38	6	3	4	1
35	SDSS J125943.53+275620.6	194.93140 	  27.93908 	G	  7135	 0.023800 	    	20.5g	  2.646	13	0	17	3	1	4	1
36	SDSS J125959.96+275917.8	194.99983 	  27.98828 	G	  9031	 0.030124 	    	20.1r	  2.687	5	0	1	0	1	0	2
37	SDSS J125959.90+275921.8	194.99958 	  27.98940 	G	  6535	 0.021800 	    	21.0g	  2.687	2	0	17	1	0	4	3
38	COMAi J125944.017+275615.31	194.93337 	  27.93763 	G	  7316	 0.024404 	    	21.5R	  2.691	5	0	1	0	1	0	0
39	SDSS J125936.03+275805.1	194.90015 	  27.96810 	G	  6929	 0.023113 	    	23.7g	  2.736	5	0	10	1	1	4	3
40	COMAi J125938.623+275658.69	194.91100 	  27.94969 	G	  6718	 0.022409 	    	21.3R	  2.753	5	0	3	0	1	0	1
41	COMAi J125935.227+275850.13	194.89685 	  27.98067 	G	  7355	 0.024534 	    	22.2R	  2.816	4	0	1	0	1	0	0
42	COMAi J125938.081+275656.49	194.90866 	  27.94910 	G	  6128	 0.020441 	    	21.7R	  2.870	5	0	1	0	1	0	1
43	SDSS J130000.97+275929.5	195.00406 	  27.99155 	G	  7465	 0.024900 	    	19.2g	  2.947	20	0	28	6	3	4	2
44	COMAi J125951.272+275554.14	194.96367 	  27.93173 	G	  7153	 0.023860 	    	22.8R	  2.985	3	0	3	0	1	0	1
45	NGC 4874	194.89878 	  27.95927 	G	  7176	 0.023937 	    	12.7b	  2.986	561	17	116	23	31	11	6
46	SDSS J125939.15+280110.7	194.91316 	  28.01965 	G	  7589	 0.025314 	    	22.3g	  3.077	5	0	18	1	1	3	0
47	SDSS J125934.39+275942.9	194.89331 	  27.99527 	G	  5225	 0.017429 	    	21.2g	  3.140	9	0	16	3	2	4	1
48	SDSS J130001.80+275941.2	195.00753 	  27.99479 	G	  9438	 0.031482 	    	22.8g	  3.174	4	0	8	1	1	4	1
49	2MASX J12595013+2755292	194.95877 	  27.92484 	G	  9743	 0.032500 	    	16.8g	  3.342	46	0	37	4	3	6	1
50	COMAi J125934.046+280006.94	194.89195 	  28.00206 	G	  8977	 0.029944 	    	23.3R	  3.348	3	0	3	0	1	0	1
51	2MASS J12593699+2801074	194.90419 	  28.01861 	G	  7293	 0.024327 	    	18.3g	  3.355	25	0	31	6	3	4	0
52	NGC 4873	194.88664 	  27.98360 	G	  5789	 0.019310 	    	15.1g	  3.364	127	1	76	11	18	11	0
53	SDSS J125932.77+275831.4	194.88655 	  27.97540 	G	  7436	 0.024804 	    	23.7g	  3.374	4	0	8	1	1	4	0
54	SDSS J125959.47+275626.0	194.99779 	  27.94056 	G	  6439	 0.021478 	    	17.37	  3.466	34	0	11	6	3	0	0
55	2MASS J13000095+2756433	195.00405 	  27.94544 	G	  6839	 0.022812 	    	17.8g	  3.536	39	0	26	6	5	4	0
56	SDSS J125936.19+280111.8	194.90079 	  28.01995 	G	  7578	 0.025277 	    	23.1g	  3.541	5	0	8	1	1	3	1
57	CGCG 160-233	194.92626 	  27.92473 	G	  6900	 0.023016 	    	16.1g	  3.547	106	1	41	8	14	6	0
58	2MASX J12595670+2755483	194.98605 	  27.93003 	G	  7735	 0.025801 	    	16.1g	  3.555	63	0	41	8	12	6	1
59	SDSS J130003.74+275752.9	195.01562 	  27.96471 	G	  5338	 0.017804 	    	18.2g	  3.596	25	0	24	2	4	4	0
60	COMAi J125933.270+275715.50	194.88863 	  27.95431 	GTrpl	  7075	 0.023600 	    	26.84	  3.599	2	0	0	0	0	0	10
61	NGC 4886	195.01850 	  27.98758 	G	  6392	 0.021321 	    	14.9g	  3.658	147	3	43	9	16	5	0
62	NGC 4872	194.89183 	  27.94694 	G	  7193	 0.023993 	    	15.2g	  3.665	151	3	54	7	18	8	1
63	COMAi J125931.729+275748.12	194.88226 	  27.96344 	G	  8860	 0.029554 	    	21.7R	  3.724	5	0	1	0	1	0	0
64	NGC 4883	194.98339 	  28.03472 	G	  8181	 0.027289 	    	15.0g	  3.729	116	3	70	8	13	7	1
65	SDSS J125949.12+275501.7	194.95469 	  27.91716 	G	  6805	 0.022700 	    	20.7r	  3.779	6	0	16	1	1	4	0
66	SDSS J130005.22+275835.9	195.02177 	  27.97666 	G	  7792	 0.025991 	    	18.5g	  3.808	11	0	24	2	1	4	0
67	COMAi J125930.702+275925.76	194.87804 	  27.99056 	G	  7620	 0.025418 	    	23.2R	  3.865	3	0	3	0	1	0	1
