ID	VCC	Other	A_r	b/a	phi	g_A	R_50	&lt;mu&gt;^A_e	g	R_e	&lt;mu&gt;_e	R_90	c	Type	Notes	
			(arcsec)		(deg)	(mag)	(arcsec)	(^a)	(mag)	(arcsec)	(^a)	(arcsec)				
(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	
1	1226	N4472	580	0.82	155	8.844 +or- 0.006	98.9 +or- 0.9	20.82 +or- 0.02	8.545	165.0	21.628	350	3.59	E:		
2	1316	N4486	410	0.86	157	9.213 +or- 0.007	78.5 +or- 0.8	20.68 +or- 0.02	9.020	106.8	21.158	270	3.42	E		
3	1978	N4649	310	0.79	109	9.363 +or- 0.008	63.3 +or- 0.7	20.37 +or- 0.03	9.201	81.3	20.746	210	3.34	S0:	nearby companion 2&farcm;7 away^b	
4	881	N4406	550	0.70	117	9.333 +or- 0.008	104.5 +or- 1.1	21.42 +or- 0.03	9.279	111.7	21.515	300	2.89	S0:	large-scale envelope	
5	798	N4382	390	0.75	7	9.450 +or- 0.008	69.1 +or- 0.7	20.64 +or- 0.02	9.382	75.5	20.768	210	2.99	S0:	large-scale envelope	
6	763	N4374	390	0.96	138	9.621 +or- 0.006	67.7 +or- 0.6	20.77 +or- 0.02	9.356	105.0	21.467	240	3.54	E		
7	731	N4365	260	0.77	41	10.178 +or- 0.007	52.4 +or- 0.6	20.77 +or- 0.03	10.036	65.0	21.096	170	3.29	E		
8	1535	N4526	150	0.31	112	10.282 +or- 0.008	31.5 +or- 0.3	19.77 +or- 0.02	10.196	35.5	19.943	97	3.09	S0		
9	1903	N4621	210	0.63	166	10.248 +or- 0.008	42.1 +or- 0.5	20.36 +or- 0.03	10.054	57.3	20.839	140	3.42	E	bright stars 1&farcm;1 & 1&farcm;9 away	
10	1632	N4552	160	0.89	135	10.398 +or- 0.008	33.6 +or- 0.4	20.02 +or- 0.03	10.157	49.9	20.642	120	3.50	E:		
11	1231	N4473	120	0.58	93	10.765 +or- 0.010	23.4 +or- 0.4	19.61 +or- 0.04	10.317	54.8	21.007	90	3.74	E		
12	2095	N4762	110	0.21	31	10.802 +or- 0.010	25.8 +or- 0.3	19.85 +or- 0.03	10.713	29.2	20.035	80	3.10	S0	edge-on disk-like structure	
13	1154	N4459	160	0.77	106	10.801 +or- 0.010	32.8 +or- 0.5	20.38 +or- 0.03	10.542	50.5	21.053	120	3.53	S0	bright star 2&farcm;2 away^b	
14	1062	N4442	120	0.40	86	10.866 +or- 0.010	21.1 +or- 0.3	19.48 +or- 0.03	10.735	25.6	19.776	68	3.26	S0:		
