object_1 41.141 -0.267 2.493
object_3 138.667 28.51 11.757
object_4 151.597 28.872 2.115
object_7 185.286 29.489 2.457
object_8 189.373 20.745 4.173
object_11 191.365 18.3 8.141
object_20 165.964 28.691 5.365
object_21 185.078 28.026 10.224
object_24 189.771 32.505 6.689
object_25 190.007 26.322 21.79
object_27 198.328 31.415 3.265
object_30 195.109 27.46 4.552
object_31 185.49 28.243 3.548
object_32 186.327 27.15 4.838
object_33 186.365 28.484 79.091
object_34 186.517 24.301 3.631
object_35 187.65 27.553 5.914
object_36 190.427 27.565 7.065
object_37 192.008 26.21 7.059
object_38 193.925 19.212 22.032
object_46 195.493 27.836 2.113
object_47 195.674 21.998 8.491
object_48 196.562 27.995 2.709
object_49 198.093 31.389 12.948
object_50 198.928 31.313 11.706
object_52 194.022 27.505 2.0
object_58 194.849 27.791 2.0

41.14	-0.27	21.59	0.03
133.98	31.47	22.58	0.02
138.67	28.51	20.50	0.02
151.60	28.87	22.23	0.02
184.04	32.88	24.56	0.01
184.41	28.59	21.92	0.02
185.29	29.49	21.23	0.02
189.37	20.74	21.74	0.03
190.22	32.28	23.13	0.01
190.63 31.97	22.88	0.01
191.37 18.30	19.71	0.01
192.76 27.80	22.23	0.01
194.26 28.39	23.51	0.01
194.50 27.19	22.35	0.01
195.38 28.37	24.32	0.01
195.57 28.95	23.04	0.01
196.22 27.71	22.68	0.01
203.94 28.21	23.54	0.01
165.96 28.69	20.25	0.03
185.08 28.03	19.85	0.02
185.94 28.60	23.98	0.02
189.77 32.50	19.99	0.01
190.01 26.32	19.38	0.01
193.49 29.25	23.23	0.01
198.33 31.41	20.18	0.01
195.10 27.87	23.62	0.01
195.10 27.87	23.44	0.01
195.11 27.46	21.44	0.01
185.49 28.24	20.70	0.02
186.33 27.15	21.45	0.02
186.36 28.48	17.44	0.02
186.52 24.30	21.88	0.02
187.65 27.55	21.16	0.02
190.43 27.56	20.98	0.01
192.01 26.21	21.01	0.01
193.92 19.21	17.73	0.02
193.98 27.46	23.55	0.01
194.88 27.75	24.34	0.01
194.95 27.78	23.45	0.01
195.09 27.82	23.75	0.01
195.09 27.79	22.53	0.01
195.24 26.98	26.09	0.01
195.25 21.07	22.47	0.07
195.49 27.84	21.95	0.01
195.67 22.00	19.62	0.03
196.56 27.99	21.97	0.01
198.09 31.39	20.52	0.01
198.93 31.31	19.86	0.01
193.99 27.50	23.23	0.01
194.02 27.50	23.29	0.01
194.06 27.56	24.31	0.01
194.15 27.59	23.99	0.01
194.77 28.24	25.51	0.01
194.77 28.25	25.55	0.01
194.81 27.75	24.75	0.01
194.85 27.79	22.55	0.01
194.87 27.72	23.84	0.01
194.91 27.80	25.00	0.01
194.98 27.80	25.08	0.01
195.00 27.81	25.27	0.01
195.02 27.89	24.27	0.01
195.05 27.83	24.62	0.01
195.05 27.81	25.30	0.01
195.12 27.81	23.49	0.01
195.16 27.48	22.99	0.01
195.27 27.16	24.30	0.01
