Title: Systematically Measuring Ultra Diffuse Galaxies (SMUDGes). I. Survey 
       Description and First Results in the Coma Galaxy Cluster and Environs 
Authors: Zaritsky D., Donnerstein R., Dey A., Kadowaki J., Zhang H., 
         Karunakaran A., Martinez-Delgado D., Rahman M., Spekkens K. 
Table: Ultra Diffuse Galaxy Properties
================================================================================
Byte-by-byte Description of file: apjsaaefe9t2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units          Label  Explanations
--------------------------------------------------------------------------------
   1- 18 A18    ---            SMDG   Galaxy Name in SMDG Catalog, SMDGhhmmsss+ddmmss
  20- 30 F11.7  deg            RAdeg  Right Ascension, decimal degrees (J2000)
  32- 41 F10.7  deg            DEdeg  Declination, decimal degrees (J2000)
  43- 46 F4.1   mag/arcsec2    mu0g   Central surface brightness, g band, fixed n = 1 model fit (1)
  48- 51 F4.1   mag/arcsec2    mu0r   Central surface brightness, r band, fixed n = 1 model fit (1)
  53- 56 F4.1   mag/arcsec2    mu0z   Central surface brightness, z band, fixed n = 1 model fit (1)
  58- 60 F3.1   mag/arcsec2  e_mu0g   1 sigma uncertainty in mu0g (1)
  62- 64 F3.1   mag/arcsec2  e_mu0r   1 sigma uncertainty in mu0r (1)
  66- 68 F3.1   mag/arcsec2  e_mu0z   1 sigma uncertainty in mu0z (1)
  70- 73 F4.1   arcsec         Re     Effective radius, fixed n = 1 model fit to full image stack (1)
  75- 78 F4.1   arcsec       e_Re     1 sigma uncertainty in Re
  80- 83 F4.2   ---            b/a    Axis ratio, fixed n = 1 model fit to full image stack
  85- 88 F4.2   ---          e_b/a    1 sigma uncertainty in b/a, fixed n = 1 model fit to full image stack
  90- 92 I3     degrees        theta  Position angle, measured N to E, fixed n = 1 model fit to full image stack
  94- 96 I3     degrees      e_theta  1 sigma uncertainty in theta, fixed n = 1 model fit to full image stack
  98-101 F4.1   mag            gtmag  g band total apparent magnitude, floating n model fit (1)
 103-106 F4.1   mag            rtmag  r band total apparent magnitude, floating n model fit (1)
 108-111 F4.1   mag            ztmag  z band total apparent magnitude, floating n model fit (1)
 113-115 F3.1   mag          e_gtmag  1 sigma uncertainty in gtmag, floating n model fit (1)
 117-119 F3.1   mag          e_rtmag  1 sigma uncertainty in rtmag, floating n model fit (1)
 121-123 F3.1   mag          e_ztmag  1 sigma uncertainty in ztmag, floating n model fit (1)
--------------------------------------------------------------------------------
Note (1): The central surface brightness, total magnitudes, and uncertainties
    are on the AB magnitude system and were not extinction corrected.
--------------------------------------------------------------------------------
SMDG1212080+281630 183.0334015 28.2750149 24.4 24.7 24.8 0.4 0.5 0.9  5.6  0.6 0.88 0.08  87  28 21.1 21.1 20.6 0.1 0.1 0.2 
SMDG1212084+290349 183.0351410 29.0635147  0.0 24.2 23.6 0.0 0.2 0.5  6.1  0.5 0.67 0.05 156   7  0.0  0.0 19.6 0.0 0.0 0.3 
SMDG1212454+273507 183.1893463 27.5853519 24.7 24.6 23.6 0.4 0.4 0.8  5.4  0.6 0.59 0.05 140   7 21.4 20.8 20.1 0.1 0.2 1.2 
SMDG1213061+294549 183.2753143 29.7637100 24.0 23.6 23.0 0.1 0.1 0.2 10.6  0.2 0.79 0.01 116   3 18.3 18.0 17.7 0.1 0.1 0.1 
SMDG1213219+293401 183.3412323 29.5668106 25.4 25.1  0.0 0.4 0.4 0.0  6.4  0.8 0.52 0.05  76   6 21.9 21.0  0.0 0.1 0.2 0.0 
SMDG1213235+264641 183.3479462 26.7779903 25.1 24.6 24.4 0.3 0.3 0.6  6.4  0.5 0.52 0.03  80   4 21.2 20.9  0.0 0.1 0.1 0.0 
SMDG1213512+282109 183.4633484 28.3525047 24.2 24.0 23.7 0.2 0.2 0.4  5.5  0.3 0.83 0.04  41  10 20.0 19.8 18.6 0.1 0.1 1.2 
SMDG1214010+293203 183.5043488 29.5341835 25.7 25.5  0.0 0.4 0.4 0.0  6.3  0.9 0.72 0.09 106  16 21.8 21.3  0.0 0.1 0.3 0.0 
SMDG1214279+294034 183.6161346 29.6759911 25.2 25.2 24.3 0.2 0.4 0.6  6.1  0.5 0.70 0.05  99   8 21.6 20.9 20.6 0.1 0.1 0.2 
SMDG1214419+274955 183.6744690 27.8318577 24.6 24.1 23.8 0.2 0.1 0.3  8.4  0.4 0.97 0.04  91  43 19.4 18.9 19.0 0.1 0.1 0.1 
SMDG1214429+291507 183.6787262 29.2520733 25.1 24.8 24.4 0.2 0.2 0.4 11.3  0.5 0.82 0.03  30   6 19.5 19.0 19.3 0.1 0.1 0.1 
SMDG1215126+294832 183.8023987 29.8089161 26.3 25.4 24.6 0.6 0.5 0.9  5.3  0.8 0.50 0.06  10   7 21.8 21.6 21.6 0.3 0.2 0.2 
SMDG1215164+263120 183.8185120 26.5222282 24.5 24.1 23.7 0.1 0.1 0.1 10.5  0.2 0.93 0.02 174   8 18.9 18.6 18.2 0.1 0.1 0.1 
SMDG1215479+291725 183.9496155 29.2901516 24.4 24.0 23.6 0.1 0.1 0.2 10.2  0.2 0.74 0.01 175   2 18.8 18.6 18.6 0.1 0.1 0.1 
SMDG1216088+325257 184.0368500 32.8825760 25.1 24.6 24.2 0.3 0.3 0.7  7.4  0.6 0.91 0.07 178  28 20.3 20.2 19.3 0.1 0.1 0.8 
SMDG1216389+265941 184.1622314 26.9946594 25.4 25.0 24.5 0.3 0.3 0.4 22.9  1.9 0.92 0.03 153  15 18.8 14.7 18.2 0.2 3.5 0.8 
SMDG1216389+292843 184.1621399 29.4786072 24.2 23.8 23.3 0.1 0.1 0.1  9.3  0.2 0.89 0.01  22   4 18.6 18.3 18.3 0.1 0.1 0.1 
SMDG1217123+280305 184.3011475 28.0512886 25.7 25.4 24.7 0.3 0.4 0.6  8.2  0.8 0.86 0.07  87  19 20.8 20.2 20.2 0.1 0.1 0.1 
SMDG1217185+283420 184.3269653 28.5722408 24.6 24.1 24.2 0.1 0.1 0.6  7.0  0.3 0.55 0.02  37   2 20.3 19.9 20.6 0.1 0.1 0.2 
SMDG1217201+301001 184.3337555 30.1669903 24.5 24.1 23.8 0.1 0.1 0.2  9.8  0.3 0.46 0.01 135   1 19.9 19.5 19.4 0.1 0.1 0.1 
SMDG1217267+275954 184.3611298 27.9983845 24.6 24.1 23.6 0.1 0.1 0.2  6.9  0.3 0.72 0.02  60   4 20.0 19.5 19.3 0.1 0.1 0.1 
SMDG1217280+305552 184.3668671 30.9311962 24.5 24.3 22.8 0.1 0.2 0.3  8.1  0.3 0.80 0.03  41   6 18.4 17.8 18.6 0.4 0.6 0.6 
SMDG1217377+283519 184.4072571 28.5886955 24.5 24.1 23.8 0.1 0.1 0.1 13.1  0.3 0.69 0.01  46   1 18.7 18.4 18.1 0.1 0.1 0.1 
SMDG1217442+332044 184.4341278 33.3456802 25.0 24.7 24.2 0.3 0.3 0.4 37.5  2.5 0.76 0.02  78   2 18.2 17.8 17.7 0.1 0.1 1.3 
SMDG1217450+281726 184.4374237 28.2906342 25.1 24.4 24.1 0.2 0.2 0.5 10.3  0.6 0.73 0.03   4   6 19.8 19.2 19.2 0.1 0.1 0.1 
SMDG1218146+284650 184.5608521 28.7806511 24.7 24.4 24.2 0.2 0.2 0.6  5.4  0.4 0.53 0.03  44   3 21.1 20.8 20.0 0.1 0.1 0.4 
SMDG1218243+274243 184.6011200 27.7118168 24.7 24.2 23.9 0.2 0.2 0.2  8.6  0.4 0.64 0.02  38   3 19.7 19.6 19.1 0.1 0.1 0.1 
SMDG1218288+285031 184.6201630 28.8418751 24.4 23.9 23.7 0.1 0.1 0.2  6.1  0.2 0.62 0.01  52   2 20.1 19.6 19.3 0.1 0.1 0.1 
SMDG1218390+285050 184.6623840 28.8472366 25.7 25.4  0.0 0.3 0.3 0.0  8.3  0.7 0.58 0.04 165   5 21.2 20.5  0.0 0.2 0.1 0.0 
SMDG1218528+312335 184.7199554 31.3930283 25.7 22.3  0.0 0.5 0.1 0.0  7.2  1.2 0.62 0.08 142  11 22.0 21.2  0.0 0.4 0.1 0.0 
SMDG1219020+310423 184.7584839 31.0731068 24.4 24.0 23.7 0.1 0.1 0.2 11.3  0.3 0.56 0.01  43   1 18.4 18.3 17.6 0.2 0.2 0.5 
SMDG1219032+285404 184.7632446 28.9011669 24.2 23.8 23.4 0.1 0.1 0.1  8.0  0.2 0.86 0.02  66   4 19.0 18.6 18.3 0.1 0.1 0.2 
SMDG1219292+305047 184.8715363 30.8463917 24.4 23.9 23.5 0.1 0.1 0.3  5.3  0.2 0.77 0.03 147   5 20.3 19.7 20.2 0.1 0.1 0.1 
SMDG1219301+295703 184.8753967 29.9508076 25.1 24.6 24.4 0.1 0.1 0.3  8.9  0.3 0.80 0.03  72   5 20.0 19.5 18.5 0.1 0.1 0.3 
SMDG1219317+300245 184.8819122 30.0456944 25.5 24.5  0.0 0.4 0.5 0.0  6.1  0.8 0.48 0.05 165   6 21.9 22.4  0.0 0.1 0.1 0.0 
SMDG1219425+283811 184.9269409 28.6364861 24.9 24.5 23.9 0.2 0.2 0.3  6.3  0.3 0.52 0.02  24   2 21.1 20.7 20.6 0.1 0.1 0.1 
SMDG1219518+253345 184.9656830 25.5624447 26.0 25.4  0.0 0.4 0.3 0.0  6.8  0.7 0.79 0.07  52  15 19.9 20.3  0.0 1.4 0.2 0.0 
SMDG1219552+302252 184.9798737 30.3811283 25.4 24.7 24.5 0.4 0.4 0.9  5.5  0.6 0.56 0.05  51   6 21.6 21.3 18.3 0.3 0.1 4.0 
